OBSERVER WORLD HISTORY SNAPSHOTS
================================

{'day': 17, 'hour': 0, 'alive': 50, 'dead': 43, 'food': 4069, 'wood': 852, 'stone': 703, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 32, 'deaths_total': 37, 'notifications_total': 100, 'avg_health': 66.18, 'avg_hunger': 55.74, 'avg_energy': 79.72, 'food_per_person': 81.38, 'births_today': 32, 'deaths_today': 0, 'growth_rate': 8.695652173913043}
{'day': 18, 'hour': 0, 'alive': 51, 'dead': 50, 'food': 3715, 'wood': 924, 'stone': 789, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 40, 'deaths_total': 40, 'notifications_total': 100, 'avg_health': 61.86274509803921, 'avg_hunger': 57.35294117647059, 'avg_energy': 74.6078431372549, 'food_per_person': 72.84313725490196, 'births_today': 40, 'deaths_today': 0, 'growth_rate': 2.0}
{'day': 19, 'hour': 0, 'alive': 39, 'dead': 65, 'food': 3479, 'wood': 891, 'stone': 840, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 43, 'deaths_total': 51, 'notifications_total': 100, 'avg_health': 66.71794871794872, 'avg_hunger': 49.43589743589744, 'avg_energy': 78.05128205128206, 'food_per_person': 89.2051282051282, 'births_today': 43, 'deaths_today': 0, 'growth_rate': -23.52941176470588}
{'day': 20, 'hour': 0, 'alive': 41, 'dead': 67, 'food': 3636, 'wood': 870, 'stone': 848, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 47, 'deaths_total': 51, 'notifications_total': 100, 'avg_health': 66.21951219512195, 'avg_hunger': 50.8780487804878, 'avg_energy': 84.26829268292683, 'food_per_person': 88.6829268292683, 'births_today': 47, 'deaths_today': 0, 'growth_rate': 5.128205128205128}
{'day': 21, 'hour': 0, 'alive': 39, 'dead': 71, 'food': 3710, 'wood': 915, 'stone': 859, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 44, 'deaths_total': 53, 'notifications_total': 100, 'avg_health': 66.07692307692308, 'avg_hunger': 47.717948717948715, 'avg_energy': 83.92307692307692, 'food_per_person': 95.12820512820512, 'births_today': 44, 'deaths_today': 0, 'growth_rate': -4.878048780487805}
{'day': 22, 'hour': 0, 'alive': 40, 'dead': 74, 'food': 3407, 'wood': 869, 'stone': 835, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 48, 'deaths_total': 54, 'notifications_total': 100, 'avg_health': 66.125, 'avg_hunger': 52.65, 'avg_energy': 82.3, 'food_per_person': 85.175, 'births_today': 48, 'deaths_today': 0, 'growth_rate': 2.564102564102564}
{'day': 23, 'hour': 0, 'alive': 39, 'dead': 80, 'food': 3925, 'wood': 950, 'stone': 874, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 53, 'deaths_total': 55, 'notifications_total': 100, 'avg_health': 63.17948717948718, 'avg_hunger': 46.82051282051282, 'avg_energy': 83.92307692307692, 'food_per_person': 100.64102564102564, 'births_today': 53, 'deaths_today': 0, 'growth_rate': -2.5}
{'day': 24, 'hour': 0, 'alive': 37, 'dead': 86, 'food': 3470, 'wood': 858, 'stone': 834, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 57, 'deaths_total': 59, 'notifications_total': 100, 'avg_health': 64.29729729729729, 'avg_hunger': 50.24324324324324, 'avg_energy': 83.27027027027027, 'food_per_person': 93.78378378378379, 'births_today': 57, 'deaths_today': 0, 'growth_rate': -5.128205128205128}
{'day': 25, 'hour': 0, 'alive': 33, 'dead': 92, 'food': 3024, 'wood': 882, 'stone': 856, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 59, 'deaths_total': 62, 'notifications_total': 100, 'avg_health': 64.72727272727273, 'avg_hunger': 47.696969696969695, 'avg_energy': 84.72727272727273, 'food_per_person': 91.63636363636364, 'births_today': 59, 'deaths_today': 0, 'growth_rate': -10.81081081081081}
{'day': 26, 'hour': 0, 'alive': 33, 'dead': 95, 'food': 2994, 'wood': 854, 'stone': 827, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 60, 'deaths_total': 64, 'notifications_total': 100, 'avg_health': 62.27272727272727, 'avg_hunger': 48.484848484848484, 'avg_energy': 83.87878787878788, 'food_per_person': 90.72727272727273, 'births_today': 60, 'deaths_today': 0, 'growth_rate': 0.0}
{'day': 27, 'hour': 0, 'alive': 30, 'dead': 101, 'food': 2903, 'wood': 861, 'stone': 838, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 63, 'deaths_total': 67, 'notifications_total': 100, 'avg_health': 66.26666666666667, 'avg_hunger': 45.3, 'avg_energy': 86.66666666666667, 'food_per_person': 96.76666666666667, 'births_today': 63, 'deaths_today': 0, 'growth_rate': -9.090909090909092}
{'day': 28, 'hour': 0, 'alive': 31, 'dead': 103, 'food': 2741, 'wood': 896, 'stone': 859, 'tension': 90, 'wars': 0, 'technologies': 4, 'births_total': 66, 'deaths_total': 68, 'notifications_total': 100, 'avg_health': 61.32258064516129, 'avg_hunger': 50.54838709677419, 'avg_energy': 80.83870967741936, 'food_per_person': 88.41935483870968, 'births_today': 66, 'deaths_today': 0, 'growth_rate': 3.3333333333333335}
{'day': 29, 'hour': 0, 'alive': 37, 'dead': 107, 'food': 2658, 'wood': 852, 'stone': 828, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 76, 'deaths_total': 69, 'notifications_total': 100, 'avg_health': 68.51351351351352, 'avg_hunger': 52.62162162162162, 'avg_energy': 76.1891891891892, 'food_per_person': 71.83783783783784, 'births_today': 76, 'deaths_today': 0, 'growth_rate': 19.35483870967742}
{'day': 30, 'hour': 0, 'alive': 29, 'dead': 116, 'food': 2886, 'wood': 859, 'stone': 834, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 77, 'deaths_total': 71, 'notifications_total': 100, 'avg_health': 59.6551724137931, 'avg_hunger': 40.724137931034484, 'avg_energy': 81.03448275862068, 'food_per_person': 99.51724137931035, 'births_today': 77, 'deaths_today': 0, 'growth_rate': -21.62162162162162}
{'day': 31, 'hour': 0, 'alive': 30, 'dead': 120, 'food': 2789, 'wood': 856, 'stone': 832, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 80, 'deaths_total': 73, 'notifications_total': 100, 'avg_health': 64.76666666666667, 'avg_hunger': 45.766666666666666, 'avg_energy': 82.7, 'food_per_person': 92.96666666666667, 'births_today': 80, 'deaths_today': 0, 'growth_rate': 3.4482758620689653}
