agent,other,trust,friendship,respect,fear
Daren,Mira,59,97,0,0
Daren,Lena,25,76,5,0
Daren,Rook,40,86,10,0
Daren,Niko,38,87,0,0
Daren,Aria,4,4,0,0
Daren,Nova,26,100,13,0
Daren,Eli,-16,100,0,0
Daren,Zane,67,46,0,0
Daren,Daren,-60,0,2,0
Daren,Liona,0,1,0,0
Daren,Kairen,11,10,3,0
Daren,Arira,0,3,0,0
Daren,Norako,8,6,1,0
Daren,Ramina,1,5,1,0
Daren,Senami,0,1,0,0
Daren,Ramiel,0,2,0,0
Daren,Miraan,-2,5,1,0
Daren,Ramimi,0,0,1,0
Daren,Eliel,0,0,0,0
Daren,Elina,0,3,0,0
Daren,Arian,2,2,0,0
Daren,Elian,0,0,0,0
Daren,Mirara,0,0,0,0
Daren,Arimi,3,3,0,0
Daren,Ramira,8,7,2,0
Daren,Ramian,13,12,1,0
Daren,Ramiko,0,3,1,0
Daren,Mirala,0,1,0,0
Daren,Arina,0,0,0,0
Daren,Kaimi,0,0,0,0
Daren,Senael,3,5,1,0
Daren,Eliko,0,1,0,0
Daren,Kaina,9,10,1,0
Daren,Senaren,3,5,1,0
Daren,Mirana,0,0,0,0
Daren,Mirako,0,0,0,0
Daren,Senana,0,0,0,0
Nova,Mira,10,19,0,0
Nova,Kai,94,53,4,0
Nova,Lena,55,100,14,0
Nova,Rook,99,100,13,0
Nova,Niko,8,36,0,0
Nova,Aria,2,0,0,0
Nova,Daren,25,100,13,0
Nova,Eli,-66,0,0,0
Nova,Zane,57,100,1,0
Nova,Liona,10,19,1,0
Nova,Kairen,7,18,1,0
Nova,Arira,0,0,0,0
Nova,Senami,0,6,0,0
Nova,Arian,0,16,2,0
Nova,Noraan,0,2,2,0
Nova,Miraan,17,24,2,0
Nova,Norako,0,4,1,0
Nova,Ramina,10,15,3,0
Nova,Ramiel,0,0,0,0
Nova,Mirako,0,2,1,0
Nova,Kaiko,5,7,1,0
Nova,Ramimi,-1,3,1,0
Nova,Eliel,0,0,0,0
Nova,Elina,0,0,0,0
Nova,Elian,0,0,0,0
Nova,Mirara,0,0,0,0
Nova,Arimi,0,0,0,0
Nova,Mirala,-1,1,1,0
Nova,Eliko,10,14,1,0
Nova,Ramira,0,0,0,0
Nova,Ramian,0,0,0,0
Nova,Arina,8,17,1,0
Nova,Ramiko,18,4,1,0
Nova,Kaimi,0,0,0,0
Nova,Senael,-1,0,1,0
Nova,Kaina,-2,3,1,0
Nova,Senaren,-1,0,1,0
Nova,Senara,16,9,2,0
Nova,Mirana,0,0,0,0
Nova,Senana,0,0,0,0
Eli,Mira,-2,100,10,0
Eli,Kai,-89,2,2,0
Eli,Lena,-32,85,9,0
Eli,Rook,-39,10,9,0
Eli,Niko,11,100,0,0
Eli,Aria,8,6,0,0
Eli,Daren,-14,100,10,0
Eli,Nova,-67,1,6,0
Eli,Zane,32,100,1,0
Eli,Liona,0,2,0,0
Eli,Arira,0,7,0,0
Eli,Kairen,0,5,0,0
Eli,Senami,0,8,0,0
Eli,Norako,0,1,1,0
Eli,Ramina,0,2,2,0
Eli,Ramiel,0,2,0,0
Eli,Mirako,0,2,1,0
Eli,Kaiko,0,4,1,0
Eli,Ramimi,0,3,1,0
Eli,Eliel,0,0,0,0
Eli,Elina,5,22,2,0
Eli,Elian,0,2,0,0
Eli,Mirara,0,0,0,0
Eli,Arimi,0,2,0,0
Eli,Ramira,0,0,0,0
Eli,Ramian,0,0,0,0
Eli,Ramiko,0,1,1,0
Eli,Arina,0,1,0,0
Eli,Kaimi,2,2,1,0
Eli,Senael,0,6,1,0
Eli,Mirana,0,0,1,0
Eli,Senana,0,2,1,0
Zane,Mira,40,85,2,0
Zane,Kai,9,27,7,0
Zane,Lena,36,40,7,0
Zane,Rook,53,100,11,0
Zane,Niko,29,41,0,0
Zane,Aria,12,17,0,0
Zane,Daren,67,46,7,0
Zane,Nova,57,100,16,0
Zane,Eli,30,100,1,0
Zane,Liona,0,1,0,0
Zane,Arira,0,1,0,0
Zane,Senami,4,0,0,0
Zane,Kairen,0,7,0,0
Zane,Norako,0,1,1,0
Zane,Ramina,0,9,2,0
Zane,Ramiel,0,5,1,0
Zane,Miraan,0,3,1,0
Zane,Mirako,0,0,1,0
Zane,Kaiko,0,2,1,0
Zane,Noraan,0,2,0,0
Zane,Ramimi,0,2,1,0
Zane,Eliel,0,0,0,0
Zane,Elina,0,0,0,0
Zane,Arian,4,4,1,0
Zane,Elian,0,0,0,0
Zane,Mirara,0,4,0,0
Zane,Arimi,0,0,0,0
Zane,Eliko,4,3,1,0
Zane,Ramira,0,1,0,0
Zane,Ramian,0,1,0,0
Zane,Ramiko,0,0,0,0
Zane,Arina,0,4,1,0
Zane,Kaimi,0,0,0,0
Zane,Senara,0,0,1,0
Zane,Mirana,0,0,1,0
Zane,Senana,0,0,1,0
Liona,Mira,6,0,4,0
Liona,Kai,22,7,8,0
Liona,Niko,0,0,0,0
Liona,Aria,8,4,0,0
Liona,Daren,1,0,1,0
Liona,Nova,15,10,5,0
Liona,Eli,2,0,0,0
Liona,Zane,1,0,0,0
Liona,Lena,1,0,1,0
Liona,Arira,0,0,0,0
Liona,Rook,1,0,0,0
Liona,Kairen,1,0,0,0
Liona,Ramiel,0,0,0,0
Liona,Ramimi,0,0,0,0
Liona,Eliel,0,0,0,0
Liona,Elina,0,0,0,0
Liona,Elian,0,0,0,0
Liona,Mirara,0,0,0,0
Liona,Arimi,0,0,0,0
Liona,Ramira,0,0,0,0
Liona,Ramian,0,0,0,0
Liona,Ramiko,0,0,0,0
Liona,Arina,0,0,0,0
Liona,Kaimi,0,0,0,0
Liona,Mirana,0,0,0,0
Liona,Mirako,0,0,0,0
Liona,Senana,0,0,0,0
Kairen,Mira,1,8,0,0
Kairen,Kai,0,0,2,0
Kairen,Niko,1,0,0,0
Kairen,Aria,0,0,0,0
Kairen,Daren,8,4,0,0
Kairen,Eli,1,4,0,0
Kairen,Zane,3,0,0,0
Kairen,Liona,0,0,0,0
Kairen,Lena,10,9,6,0
Kairen,Nova,1,4,0,0
Kairen,Rook,12,9,5,0
Kairen,Arira,0,0,0,0
Kairen,Senami,1,0,0,0
Kairen,Noraan,1,0,0,0
Kairen,Ramiel,0,0,0,0
Kairen,Ramimi,0,0,0,0
Kairen,Eliel,0,0,0,0
Kairen,Elina,0,0,0,0
Kairen,Elian,0,0,0,0
Kairen,Mirara,0,0,0,0
Kairen,Arimi,0,0,0,0
Kairen,Ramira,0,0,0,0
Kairen,Ramian,0,0,0,0
Kairen,Ramiko,0,0,0,0
